,year,date,all_2534,HS,SC,BAp_2534,Bao,GD_2534,White_2534,Black_2534,Hisp_2534,NE_2534,MA_2534,Midwest_2534,South_2534,Mountain_2534,Pacific_2534,age,poor,mid,rich,all_3544,HS_3544,SC_3544,BAp_3544,BAo_3544,GD_3544,White_3544,Black_3544,Hisp_3544,NE_3544,MA_3544,Midwest_3544,South_3544,Mountain_3544,Pacific_3544,poor_3544,mid_3544,rich_3544,all_4554,HS_4554,SC_4554,BAp_4554,BAo_4554,GD_4554,White_4554,Black_4554,Hisp_4554,NE_4554,MA_4554,Midwest_4554,South_4554,Mountain_4554,Pacific_4554,poor_4554,mid_4554,rich_4554,edu,work_2534,nowork_2534,work_edu,work_SC_2534,work_BAp_2534,work_BAo_2534,work_GD_2534,nowork_edu,nowork_SC_2534,nowork_BAp_2534,nowork_BAo_2534,nowork_GD_2534,work_White_2534,work_Black_2534,work_Hisp_2534,nowork_White_2534,nowork_Black_2534,nowork_Hisp_2534,work_poor_2534,work_mid_2534,work_rich_2534,nowork_poor_2534,nowork_mid_2534,nowork_rich_2534,nokids_all_2534,kids_all_2534,nokids_HS_2534,nokids_SC_2534,nokids_BAp_2534,nokids_BAo_2534,nokids_GD_2534,kids_HS_2534,kids_SC_2534,kids_BAp_2534,kids_BAo_2534,kids_GD_2534,nokids_poor_2534,nokids_mid_2534,nokids_rich_2534,kids_poor_2534,kids_mid_2534,kids_rich_2534
12,2007,1/1/2007,0.522851128,0.50594766,0.538380063,0.536882038,0.512122271,0.605020292,0.5537714,0.358963339,0.543298852,0.454277293,0.44617392,0.543878957,0.55190624,0.56745337,0.48676652,2354,0.381725295,0.58416539,0.556118461,0.781509657,0.744116158,0.800854242,0.822112499,0.808570592,0.84708288,0.806055906,0.645745751,0.774059269,0.767083813,0.749353716,0.794618122,0.799532716,0.786389089,0.753792618,0.636392107,0.821363331,0.847332129,0.860963185,0.836329796,0.875583184,0.886216639,0.876535629,0.901747273,0.87587672,0.745003319,0.865578119,0.851638155,0.838181116,0.868515037,0.872428774,0.872564163,0.842597993,0.732195715,0.898062185,0.915776611,HS,0.575874195,0.41534642,0.573454711,0.585663036,0.569632602,0.546833621,0.636543673,0.400418963,0.426303549,0.442698947,0.405433947,0.528769056,0.601365615,0.445445899,0.574435662,0.444461656,0.258176662,0.474997903,0.405225755,0.609070648,0.646698146,0.356091089,0.508641185,0.372365165,0.318266206,0.917952827,0.294275659,0.317102522,0.358587632,0.33566946,0.425608541,0.887894655,0.92677234,0.972854139,0.968282174,0.983772279,0.224132653,0.347659143,0.375482224,0.808571041,0.938844199,0.969041644
13,2008,1/1/2008,0.508944203,0.490141516,0.521649822,0.526083364,0.499935649,0.598524835,0.541506699,0.354174931,0.519025441,0.435606232,0.429160135,0.531698195,0.543369357,0.539650546,0.469887768,2354,0.35857184,0.569683515,0.544090393,0.775613532,0.733681786,0.793409136,0.82043239,0.808140034,0.842848694,0.80277784,0.631746803,0.765913183,0.770530652,0.738514181,0.791723677,0.796866291,0.778065146,0.739249074,0.629199721,0.814379208,0.844641964,0.851539227,0.821053293,0.868859394,0.881106479,0.870485096,0.898375855,0.867230329,0.729201566,0.857099627,0.844364599,0.820940796,0.859809545,0.864662375,0.858830077,0.836311097,0.717559475,0.890348986,0.911719663,HS,0.562479859,0.371214617,0.559723173,0.56595978,0.562420968,0.535488733,0.639112268,0.365185019,0.38464488,0.370420481,0.341627195,0.441609377,0.589536657,0.43075921,0.554888633,0.397509902,0.245757376,0.424101658,0.380188196,0.596625421,0.634910968,0.331158099,0.457019071,0.318487075,0.3061467,0.911851448,0.283600675,0.302131624,0.345316727,0.318987032,0.421825604,0.875421597,0.921534857,0.972852864,0.967190952,0.986855079,0.208816632,0.334573068,0.36429513,0.783313898,0.934631149,0.969957521
14,2009,1/1/2009,0.485451411,0.464045522,0.499829448,0.503342366,0.473736547,0.585470074,0.518622742,0.334120833,0.49288185,0.422401347,0.405188796,0.497255297,0.52322999,0.525387466,0.447593199,2354,0.348068967,0.531209602,0.531426516,0.771074758,0.72144514,0.790623912,0.825208024,0.813073105,0.846524479,0.799152963,0.623285855,0.759908729,0.761230185,0.73184934,0.788147839,0.788526282,0.779924791,0.741771902,0.613124457,0.812760368,0.845870122,0.84644574,0.814706862,0.860746975,0.882860909,0.875191228,0.895367916,0.864329826,0.71813878,0.846148603,0.844564154,0.822791575,0.856258904,0.857167468,0.854499339,0.826450116,0.704883642,0.887710151,0.906984322,HS,0.542842683,0.366840675,0.536876333,0.551133078,0.541473546,0.511412773,0.625618335,0.364714333,0.375129525,0.360866258,0.331357026,0.440041317,0.570075458,0.415270106,0.531635676,0.39267636,0.241215748,0.417135115,0.366324212,0.558065514,0.631289041,0.33160556,0.443895937,0.30797619,0.287819647,0.904281025,0.255673106,0.292825967,0.328795057,0.302736714,0.406510083,0.866890705,0.910349194,0.970068218,0.964334434,0.983318693,0.192983088,0.304861203,0.355858567,0.777213915,0.925347679,0.968983013
15,2010,1/1/2010,0.476288788,0.452012263,0.49155802,0.497120104,0.468556463,0.574487484,0.508890066,0.32448795,0.486230138,0.401502279,0.401740693,0.494320236,0.503833982,0.531344186,0.444923007,2354,0.337389869,0.524902384,0.521623596,0.766188662,0.717174892,0.782087564,0.822181374,0.806619112,0.84982893,0.797133353,0.616674249,0.752783065,0.752286918,0.727467798,0.780735208,0.781851662,0.785105578,0.739512104,0.613240208,0.804587135,0.847359421,0.841462682,0.80753433,0.858174688,0.880763373,0.870449449,0.897864488,0.860477499,0.710128143,0.840220591,0.82778215,0.81490958,0.850053931,0.853247011,0.852011161,0.82509701,0.702748443,0.876715687,0.910066104,HS,0.535847279,0.365153029,0.526165879,0.543518363,0.539222841,0.510856915,0.616787765,0.359718841,0.383669021,0.352308251,0.321399675,0.43336214,0.563156418,0.408735504,0.525390897,0.392234603,0.240170658,0.412593939,0.348856302,0.550288813,0.628813357,0.328373677,0.450080888,0.297559339,0.285631856,0.900890842,0.2553992,0.287733164,0.326603751,0.299765343,0.40355664,0.859095684,0.908871691,0.969723211,0.964276434,0.982413812,0.190059856,0.307735631,0.348000703,0.776259641,0.919767519,0.967811778
16,2011,1/1/2011,0.463638416,0.435932153,0.478352514,0.488902973,0.458168507,0.572026065,0.498742556,0.304586359,0.471892347,0.402771958,0.391578724,0.479815719,0.490782568,0.510188839,0.434042476,2354,0.324146323,0.5128984,0.507946712,0.762193366,0.706397724,0.779567782,0.824550343,0.80978846,0.849690327,0.795096114,0.615108736,0.744020436,0.752126843,0.720669479,0.777820083,0.77694547,0.786197014,0.734937264,0.603654967,0.802015257,0.847007018,0.836845455,0.800364413,0.854797085,0.878919828,0.869994391,0.893861513,0.856173978,0.706884765,0.836673832,0.834369091,0.815808049,0.845520752,0.845611214,0.846705502,0.819508846,0.692947452,0.873689121,0.907332996,HS,0.52785035,0.340391091,0.514014719,0.538494556,0.532567042,0.501958929,0.615620874,0.335908121,0.351288588,0.33626171,0.304473636,0.421255708,0.55861908,0.382309051,0.515155082,0.363519044,0.225733871,0.390435753,0.34084657,0.544271612,0.617412737,0.310722986,0.415852739,0.277820399,0.273753203,0.895265781,0.238306173,0.28009506,0.316235802,0.291816836,0.388025375,0.852630409,0.897580149,0.969932923,0.962897225,0.985242697,0.181204604,0.295563876,0.333337885,0.760185319,0.91631136,0.965742199
17,2012,1/1/2012,0.452800905,0.426314146,0.468286081,0.474122834,0.441817742,0.558242891,0.485319687,0.312411478,0.458058509,0.382042349,0.368890894,0.477250456,0.485020058,0.499263566,0.414213539,2354,0.313075841,0.500322027,0.497649495,0.756787542,0.698750841,0.769452607,0.823920875,0.806940762,0.853178171,0.791368418,0.601971735,0.735307906,0.745936606,0.713631756,0.773042725,0.771514856,0.770011608,0.734457118,0.594464048,0.794057375,0.845135043,0.83716791,0.801791069,0.852961999,0.878254496,0.868943572,0.893537032,0.856072016,0.712970378,0.835601324,0.832734893,0.817400422,0.843639782,0.84849889,0.845347105,0.817177036,0.698500602,0.872953498,0.905736167,HS,0.514004524,0.326612373,0.506234521,0.523341213,0.513297715,0.481228767,0.597829666,0.316423093,0.344399385,0.327667848,0.292088633,0.416226674,0.541959112,0.39261955,0.501069843,0.348584389,0.223277936,0.36852236,0.332194347,0.531093567,0.599793058,0.296284707,0.397305201,0.274373955,0.267710055,0.891234652,0.234882725,0.271835637,0.307113827,0.279553095,0.384126159,0.844139917,0.8998862,0.963520024,0.955472913,0.980757059,0.174808661,0.28931683,0.325285809,0.749063541,0.912267742,0.965699518
,1960,,,0.913695699,0.937581373,,0.908935727,,,,,,,,,,,3544,0.879983981,0.948331796,0.893747252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.867186002,,,,,0.640455447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,,,0.918571911,0.932393787,,0.915082708,,,,,,,,,,,3544,0.874837621,0.948575199,0.917994868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.874392675,,,,,0.660716757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,,,0.922083831,0.928867927,,0.912968116,,,,,,,,,,,3544,0.85729596,0.946738842,0.941136632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.793129432,,,,,0.609555676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,,,0.861898057,0.887022782,,0.868099082,,,,,,,,,,,3544,0.771311433,0.904501996,0.912110408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.71559234,,,,,0.53747489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,,0.80085741,0.838870836,,0.830607096,,,,,,,,,,,3544,0.684756119,0.858900585,0.88708215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.663536723,,,,,0.508158806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,,,0.804928326,0.837658729,,0.832849678,,,,,,,,,,,3544,0.673181586,0.85390008,0.911461911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.653036911,,,,,0.500792491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,,,0.805752166,0.829347001,,0.824246735,,,,,,,,,,,3544,0.674275607,0.84674063,0.910976676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.658805085,,,,,0.510106607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,,,0.804423136,0.82692604,,0.825779067,,,,,,,,,,,3544,0.675323167,0.846034173,0.911513833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.651453489,,,,,0.483958012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,0.792185933,0.826200504,,0.819197134,,,,,,,,,,,3544,0.656903249,0.841531989,0.911798497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.646521112,,,,,0.499906039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,,,0.789689838,0.822076173,,0.821758291,,,,,,,,,,,3544,0.657964926,0.836979406,0.9134723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.631669548,,,,,0.485392507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,,,0.748700285,0.805244847,,0.812564744,,,,,,,,,,,3544,0.64640895,0.824864619,0.846249599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.599140504,,,,,0.451951372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,,,0.744116158,0.800854242,,0.808570592,,,,,,,,,,,3544,0.636392107,0.821363331,0.847332129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.585663036,,,,,0.426303549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,,,0.733681786,0.793409136,,0.808140034,,,,,,,,,,,3544,0.629199721,0.814379208,0.844641964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.56595978,,,,,0.38464488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,,,0.72144514,0.790623912,,0.813073105,,,,,,,,,,,3544,0.613124457,0.812760368,0.845870122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.551133078,,,,,0.375129525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,0.717174892,0.782087564,,0.806619112,,,,,,,,,,,3544,0.613240208,0.804587135,0.847359421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.543518363,,,,,0.383669021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,0.706397724,0.779567782,,0.80978846,,,,,,,,,,,3544,0.603654967,0.802015257,0.847007018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.538494556,,,,,0.351288588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,0.698750841,0.769452607,,0.806940762,,,,,,,,,,,3544,0.594464048,0.794057375,0.845135043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.523341213,,,,,0.344399385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,,,0.923338815,0.94382953,,0.917465171,,,,,,,,,,,4554,0.880770191,0.95332791,0.917195624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.826131408,,,,,0.653924997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,,,0.931366188,0.951394244,,0.93585044,,,,,,,,,,,4554,0.879450534,0.959425611,0.943314504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.850194429,,,,,0.703418696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,,,0.938131427,0.948923265,,0.935907608,,,,,,,,,,,4554,0.878174,0.961757565,0.960482809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.77053223,,,,,0.593894542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,,,0.927942005,0.948962745,,0.936301721,,,,,,,,,,,4554,0.866927341,0.956428466,0.961352584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.638424861,,,,,0.451698114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,,0.887142615,0.914135772,,0.907314663,,,,,,,,,,,4554,0.799638061,0.930300123,0.952597989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.594160364,,,,,0.428460876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,,,0.894496599,0.914333876,,0.905349315,,,,,,,,,,,4554,0.800674024,0.927553231,0.967647713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.592402482,,,,,0.439220901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,,,0.887992576,0.905175311,,0.902368271,,,,,,,,,,,4554,0.785580313,0.92286848,0.965078613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.612978903,,,,,0.447742549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,,,0.882608189,0.902264102,,0.896141362,,,,,,,,,,,4554,0.775681242,0.919910295,0.965681927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.585647714,,,,,0.446435445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,0.879229486,0.901431851,,0.890677593,,,,,,,,,,,4554,0.772761747,0.913914342,0.964230751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.589102805,,,,,0.440910815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,,,0.868671836,0.893118162,,0.890262609,,,,,,,,,,,4554,0.7543166,0.909119662,0.964788668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.582691666,,,,,0.448315057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,,,0.838375363,0.879629841,,0.880381851,,,,,,,,,,,4554,0.737677236,0.900853287,0.917291016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.556825091,,,,,0.411102558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,,,0.836329796,0.875583184,,0.876535629,,,,,,,,,,,4554,0.732195715,0.898062185,0.915776611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.546833621,,,,,0.405433947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,,,0.821053293,0.868859394,,0.870485096,,,,,,,,,,,4554,0.717559475,0.890348986,0.911719663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.535488733,,,,,0.341627195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,,,0.814706862,0.860746975,,0.875191228,,,,,,,,,,,4554,0.704883642,0.887710151,0.906984322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.511412773,,,,,0.331357026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,0.80753433,0.858174688,,0.870449449,,,,,,,,,,,4554,0.702748443,0.876715687,0.910066104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.510856915,,,,,0.321399675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,0.800364413,0.854797085,,0.869994391,,,,,,,,,,,4554,0.692947452,0.873689121,0.907332996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.501958929,,,,,0.304473636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,0.801791069,0.852961999,,0.868943572,,,,,,,,,,,4554,0.698500602,0.872953498,0.905736167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.481228767,,,,,0.292088633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
