,year,date,all_2534,HS,SC,age,,BAp_2534,Bao,GD_2534,White_2534,Black_2534,Hisp_2534,NE_2534,MA_2534,Midwest_2534,South_2534,Mountain_2534,Pacific_2534,poor,mid,rich,all_3544,HS_3544,SC_3544,BAp_3544,BAo_3544,GD_3544,White_3544,Black_3544,Hisp_3544,NE_3544,MA_3544,Midwest_3544,South_3544,Mountain_3544,Pacific_3544,poor_3544,mid_3544,rich_3544,all_4554,HS_4554,SC_4554,BAp_4554,BAo_4554,GD_4554,White_4554,Black_4554,Hisp_4554,NE_4554,MA_4554,Midwest_4554,South_4554,Mountain_4554,Pacific_4554,poor_4554,mid_4554,rich_4554,edu,work_2534,nowork_2534,work_edu,work_SC_2534,work_BAp_2534,work_BAo_2534,work_GD_2534,nowork_edu,nowork_SC_2534,nowork_BAp_2534,nowork_BAo_2534,nowork_GD_2534,work_White_2534,work_Black_2534,work_Hisp_2534,nowork_White_2534,nowork_Black_2534,nowork_Hisp_2534,work_poor_2534,work_mid_2534,work_rich_2534,nowork_poor_2534,nowork_mid_2534,nowork_rich_2534,nokids_all_2534,kids_all_2534,nokids_HS_2534,nokids_SC_2534,nokids_BAp_2534,nokids_BAo_2534,nokids_GD_2534,kids_HS_2534,kids_SC_2534,kids_BAp_2534,kids_BAo_2534,kids_GD_2534,nokids_poor_2534,nokids_mid_2534,nokids_rich_2534,kids_poor_2534,kids_mid_2534,kids_rich_2534
12,2007,1/1/2007,0.625096785,0.622855104,0.640015824,2354,,0.613435105,0.602598755,0.63919028,0.67375499,0.369534239,0.648394021,0.562290813,0.541788282,0.64274198,0.648798279,0.682955901,0.603486409,0.434450119,0.662217804,0.74496371,0.831429692,0.809741014,0.846043856,0.843163033,0.848366322,0.833058946,0.871579851,0.624339192,0.83073786,0.807084705,0.79630831,0.84492871,0.841581913,0.85326737,0.819155087,0.695910908,0.853278887,0.923715528,0.890902962,0.884722229,0.904245412,0.885188498,0.892782838,0.871858144,0.914707495,0.745870909,0.88982707,0.879488057,0.857740459,0.902227333,0.89928746,0.908200463,0.881321175,0.798589935,0.90597518,0.954811385,HS,0.585292326,0.666686845,0.593006883,0.603368085,0.563197191,0.548907126,0.598434179,0.644184638,0.683972812,0.683290362,0.679216229,0.692498711,0.632897567,0.373892838,0.587750173,0.720991795,0.364639014,0.696569633,0.353831677,0.575105401,0.736432552,0.475123112,0.771980006,0.75759093,0.396112462,0.812486253,0.369044167,0.39448269,0.41432825,0.395625202,0.456918311,0.761464672,0.800058002,0.92309374,0.914182718,0.945765224,0.252706966,0.392368293,0.532920216,0.577348449,0.868895745,0.950834548
13,2008,1/1/2008,0.614047417,0.608519629,0.627298648,2354,,0.606128063,0.59733612,0.627034925,0.662578609,0.359429452,0.635716881,0.545442401,0.529348158,0.631301413,0.641097031,0.665449062,0.590541628,0.421660324,0.648243842,0.738563636,0.827681261,0.80282284,0.841797292,0.8405411,0.847964255,0.826570839,0.869765896,0.618253742,0.823963789,0.816279559,0.784793495,0.842600698,0.841070625,0.848286837,0.808650977,0.692689072,0.846409195,0.925308384,0.884919996,0.873704279,0.900218691,0.882381881,0.887911224,0.872338707,0.912186537,0.728841244,0.876016268,0.880081141,0.855145715,0.892560284,0.892937561,0.905879452,0.874790094,0.786320627,0.901431346,0.950565253,HS,0.580566259,0.660588654,0.581731537,0.597382531,0.564343744,0.550487171,0.597234788,0.630811619,0.674567793,0.694235025,0.695958819,0.690120302,0.626523242,0.368013018,0.588578404,0.718279117,0.346204097,0.683033428,0.340589273,0.569532662,0.7400275,0.47230301,0.7861073,0.735602218,0.383422494,0.804590899,0.361285825,0.379605427,0.399059107,0.38198821,0.437544845,0.746253328,0.788394365,0.925739674,0.91655985,0.949498061,0.250759365,0.374595685,0.519221812,0.557716347,0.861017446,0.950742356
14,2009,1/1/2009,0.591347572,0.586834079,0.603163594,2354,,0.584288532,0.569757224,0.617511334,0.638074579,0.347725128,0.613073376,0.520909374,0.506503306,0.602736166,0.623307305,0.643747949,0.565801959,0.404679067,0.625069854,0.719978132,0.822947084,0.792196681,0.835215074,0.843715551,0.850058281,0.832206813,0.868372924,0.60329056,0.812637988,0.812048379,0.778725617,0.838146847,0.83603986,0.845368966,0.803992026,0.680657903,0.845727391,0.920417185,0.883010459,0.87325092,0.896955845,0.880033445,0.885647452,0.869964359,0.91083924,0.719819912,0.872605508,0.877283088,0.851501872,0.889418543,0.89170327,0.901426143,0.87614315,0.78578405,0.89854841,0.949313935,HS,0.559020082,0.634959277,0.560011633,0.572339714,0.547356525,0.527214839,0.593163757,0.607950457,0.648338938,0.662104689,0.658948048,0.669402697,0.600600957,0.360935392,0.566718611,0.694502899,0.329468685,0.659947773,0.319241018,0.546508624,0.723603828,0.455104733,0.76154165,0.712728299,0.368204471,0.792121775,0.341744268,0.361017336,0.386851134,0.36619886,0.432845629,0.729593767,0.772066287,0.920524689,0.909000267,0.948094211,0.232381045,0.360368156,0.508302341,0.547468722,0.854026376,0.944684492
15,2010,1/1/2010,0.584516359,0.577817429,0.595322329,2354,,0.580443417,0.568320792,0.607502297,0.631289806,0.343063624,0.605991702,0.506900993,0.499338768,0.603871715,0.608656551,0.650940735,0.563574711,0.403210954,0.612548218,0.715406278,0.819136449,0.784299068,0.832339934,0.842580643,0.848095101,0.832915997,0.868179347,0.603830969,0.804367409,0.805211199,0.77912591,0.834600319,0.829981747,0.833332394,0.80547072,0.674206308,0.838352401,0.925673994,0.87877285,0.868277287,0.889773491,0.880361265,0.886228526,0.869301053,0.90792363,0.71906651,0.869489659,0.867022058,0.848939201,0.886307697,0.888357427,0.897386248,0.86814899,0.778383042,0.893425403,0.949870481,HS,0.556277698,0.621193005,0.554422738,0.567811675,0.547904832,0.528067438,0.59126644,0.595387729,0.634053381,0.646434093,0.648370903,0.641921066,0.598809212,0.352589177,0.56891111,0.679739975,0.330865854,0.641903355,0.323472369,0.53436556,0.722232592,0.445256411,0.74444969,0.701808896,0.364226675,0.785131436,0.336743453,0.356990458,0.383303988,0.365499927,0.42187194,0.720006581,0.763505031,0.918042418,0.907008457,0.943988416,0.229514174,0.354666227,0.50354989,0.546416526,0.841245677,0.940734585
16,2011,1/1/2011,0.57023176,0.559389519,0.580752087,2354,,0.569852145,0.55302528,0.607021745,0.619489809,0.332581189,0.580422957,0.513653785,0.482562701,0.589632809,0.592065777,0.632286998,0.553237954,0.38946255,0.599507716,0.69820946,0.813050429,0.775140223,0.82418018,0.840353113,0.840921923,0.839384695,0.862822163,0.588406305,0.79939365,0.805549113,0.776139113,0.824761661,0.821301817,0.844369266,0.798388385,0.667815524,0.831994081,0.923842306,0.876482098,0.863843503,0.888666838,0.879632484,0.886141931,0.867500996,0.907561491,0.708724844,0.865830803,0.870085589,0.847490277,0.886983788,0.88348584,0.888674844,0.868075911,0.775082176,0.890892845,0.949998251,HS,0.539327484,0.609368168,0.532946335,0.551932675,0.532843545,0.509487519,0.583491554,0.578561789,0.618569598,0.645497332,0.640469725,0.657035008,0.583870937,0.344986271,0.536818775,0.67124977,0.317313857,0.621178235,0.29874682,0.51880525,0.702683044,0.435825611,0.730960505,0.689315292,0.34899413,0.776609195,0.320707468,0.341384782,0.368712216,0.344551707,0.420458901,0.706559101,0.754160251,0.911627917,0.898159661,0.943007432,0.222679204,0.342357849,0.475532296,0.531269444,0.832588328,0.939928774
17,2012,1/1/2012,0.559278369,0.545484422,0.568586343,2354,,0.562141489,0.544210385,0.601071646,0.607952134,0.317941148,0.573008953,0.48904861,0.480058513,0.579026767,0.584954283,0.618767389,0.531173281,0.374137771,0.586625915,0.690567866,0.810926968,0.771605931,0.818104541,0.841194895,0.842956928,0.838239421,0.859615837,0.589801406,0.799365179,0.797405628,0.769858894,0.823650736,0.82024958,0.836924288,0.79931532,0.659523607,0.830994181,0.92225559,0.876688287,0.861290494,0.889640235,0.882292542,0.888884251,0.870267243,0.908021769,0.711968857,0.864740166,0.870119982,0.847940192,0.887320619,0.884338571,0.893409254,0.864456587,0.775652947,0.889902323,0.951348198,HS,0.533254691,0.593426246,0.532160839,0.539428181,0.529050122,0.503925747,0.582778564,0.555184679,0.607931748,0.633091768,0.629297595,0.641603325,0.576586147,0.333092528,0.536196851,0.655802513,0.29890109,0.608735535,0.296013145,0.510619153,0.69939759,0.415453156,0.7155608,0.672882705,0.341965595,0.771793106,0.302505161,0.337730698,0.364583494,0.341239389,0.414363831,0.70177002,0.74330713,0.909905382,0.89595518,0.941174464,0.215357562,0.333576689,0.470089894,0.514512381,0.829273113,0.938696164
,1960,,,0.946991674,0.928769623,3544,,,0.751608238,,,,,,,,,,,0.91420339,0.95669337,0.934685356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.658435904,,,,,0.937811885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,,,0.948451605,0.942679354,3544,,,0.814145439,,,,,,,,,,,0.902486559,0.960064142,0.951324278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.719422555,,,,,0.924950892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,,,0.946936996,0.94063755,3544,,,0.857315158,,,,,,,,,,,0.883524951,0.951914082,0.969275607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.732884224,,,,,0.8688292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,,,0.910811685,0.918235978,3544,,,0.880949458,,,,,,,,,,,0.823273206,0.915704879,0.956691578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.731988088,,,,,0.815374973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,,0.862316584,0.881575919,3544,,,0.86070107,,,,,,,,,,,0.751716376,0.886247454,0.941320788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.691614807,,,,,0.762593735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,,,0.859349955,0.87873165,3544,,,0.860899502,,,,,,,,,,,0.74136995,0.880332616,0.951976582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.671793865,,,,,0.764253169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,,,0.856481062,0.875224592,3544,,,0.854824137,,,,,,,,,,,0.738012061,0.879405119,0.945325627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.665420923,,,,,0.750088043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,,,0.849173806,0.874068238,3544,,,0.861925637,,,,,,,,,,,0.729645256,0.877376973,0.949295357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.674065343,,,,,0.743524009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,0.845591974,0.870735132,3544,,,0.863985165,,,,,,,,,,,0.722446012,0.87882377,0.951147105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.659934444,,,,,0.744308043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,,,0.839031603,0.864282743,3544,,,0.860414882,,,,,,,,,,,0.716518991,0.87002833,0.951086896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.646314298,,,,,0.730533615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,,,0.815745969,0.852880586,3544,,,0.844799117,,,,,,,,,,,0.699628833,0.856351317,0.92572192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.619846519,,,,,0.699744761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,,,0.809741014,0.846043856,3544,,,0.848366322,,,,,,,,,,,0.695910908,0.853278887,0.923715528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.603368085,,,,,0.683972812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,,,0.80282284,0.841797292,3544,,,0.847964255,,,,,,,,,,,0.692689072,0.846409195,0.925308384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.597382531,,,,,0.674567793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,,,0.792196681,0.835215074,3544,,,0.850058281,,,,,,,,,,,0.680657903,0.845727391,0.920417185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.572339714,,,,,0.648338938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,0.784299068,0.832339934,3544,,,0.848095101,,,,,,,,,,,0.674206308,0.838352401,0.925673994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.567811675,,,,,0.634053381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,0.775140223,0.82418018,3544,,,0.840921923,,,,,,,,,,,0.667815524,0.831994081,0.923842306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.551932675,,,,,0.618569598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,0.771605931,0.818104541,3544,,,0.842956928,,,,,,,,,,,0.659523607,0.830994181,0.92225559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,,0.539428181,,,,,0.607931748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,,,0.939492637,0.900496929,4554,,,0.715376065,,,,,,,,,,,0.913615042,0.939183251,0.924570502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.522415622,,,,,0.775359833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,,,0.95048662,0.939261889,4554,,,0.808430324,,,,,,,,,,,0.913502806,0.956428056,0.954018954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.604349645,,,,,0.775218308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,,,0.959000361,0.954954955,4554,,,0.867455665,,,,,,,,,,,0.91821516,0.962191554,0.973140846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.629106742,,,,,0.755031791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,,,0.950214626,0.957609746,4554,,,0.935260243,,,,,,,,,,,0.902260154,0.952355984,0.976072048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.604918982,,,,,0.759591383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,,0.922325761,0.933737054,4554,,,0.910878783,,,,,,,,,,,0.853691917,0.929262181,0.969450848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.603268256,,,,,0.718026821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,,,0.920309337,0.9290069,4554,,,0.908453663,,,,,,,,,,,0.843922813,0.925740109,0.97585402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.588923246,,,,,0.739546611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,,,0.917914556,0.927594008,4554,,,0.906933466,,,,,,,,,,,0.844986684,0.921072908,0.973121653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.595518302,,,,,0.721125819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,,,0.911847747,0.920824991,4554,,,0.902607535,,,,,,,,,,,0.831283106,0.919483168,0.971812681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.589034058,,,,,0.714616352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,0.90474205,0.918036793,4554,,,0.902758285,,,,,,,,,,,0.821699842,0.915881933,0.972788794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.589610238,,,,,0.71949271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,,,0.901691695,0.915035087,4554,,,0.896372553,,,,,,,,,,,0.812961872,0.912173474,0.971846072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.576399742,,,,,0.719785873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,,,0.885958918,0.912164217,4554,,,0.889228081,,,,,,,,,,,0.804744783,0.90779503,0.953963972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.557797295,,,,,0.689716793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,,,0.884722229,0.904245412,4554,,,0.892782838,,,,,,,,,,,0.798589935,0.90597518,0.954811385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.548907126,,,,,0.679216229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,,,0.873704279,0.900218691,4554,,,0.887911224,,,,,,,,,,,0.786320627,0.901431346,0.950565253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.550487171,,,,,0.695958819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,,,0.87325092,0.896955845,4554,,,0.885647452,,,,,,,,,,,0.78578405,0.89854841,0.949313935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.527214839,,,,,0.658948048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,0.868277287,0.889773491,4554,,,0.886228526,,,,,,,,,,,0.778383042,0.893425403,0.949870481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.528067438,,,,,0.648370903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,0.863843503,0.888666838,4554,,,0.886141931,,,,,,,,,,,0.775082176,0.890892845,0.949998251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.509487519,,,,,0.640469725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,0.861290494,0.889640235,4554,,,0.888884251,,,,,,,,,,,0.775652947,0.889902323,0.951348198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bao,,,0.503925747,,,,,0.629297595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
